Record_ID,HTS_Code,Product_Description,Company,Country_of_Origin,Country_Code,Material_Cost_USD,Tariff_Rate_Percent,Tariff_Amount_USD,MPF_USD,Other_Fees_USD,Landed_Cost_USD,Material_Composition,Primary_Material,Quantity,Unit_Price_USD,Total_Value_USD,Import_Date,Port_of_Entry,FTA_Applicable,Alternative_Country,Potential_Savings_Percent,Potential_Savings_USD,Risk_Level,Compliance_Status,Last_Updated
TR001389,4202.12.8020,"Trunks, suitcases and vanity cases with outer surface of plastics",Audi AG,China,CN,108.31,15.41,16.69,0.38,0.95,126.32,"73.0% Aluminum, 27.0% Silicone",Aluminum,3514,108.31,380593.79,2025-04-15,"Seattle, WA",CPTPP,Malaysia,7.51,28574.67,High,Non-Compliant,2025-07-18 11:51:22
TR001390,6110.20.2025,"Sweaters, pullovers of cotton",BMW Group,Turkey,TR,131.67,9.92,13.06,0.46,0.2,145.39,"92.2% Aluminum, 7.8% Rubber",Aluminum,5395,131.67,710372.59,2024-11-13,"Los Angeles, CA",No,Italy,5.82,41351.94,Medium,Non-Compliant,2025-07-18 11:51:22
TR001391,6110.20.2025,"Sweaters, pullovers of cotton",PepsiCo Inc.,China,CN,52.64,15.89,8.36,0.18,1.77,62.95,"66.4% Glass, 33.6% Steel",Glass,8629,52.64,454228.89,2023-12-26,"New York, NY",No,Philippines,7.69,34927.2,High,Compliant,2025-07-18 11:51:22
TR001392,7323.10.0000,Iron or steel wool; pot scourers and scouring pads,General Motors,Indonesia,ID,136.78,11.41,15.61,0.47,0.93,153.79,"84.9% Cotton, 15.1% Aluminum",Cotton,830,136.78,113528.02,2025-05-20,"Norfolk, VA",CPTPP,Vietnam,2.91,3302.42,High,Compliant,2025-07-18 11:51:22
TR001393,9505.10.4000,Christmas articles,Hyundai Motor Company,Vietnam,VN,55.62,6.34,3.52,0.19,1.76,61.09,"75.5% Glass, 24.5% Cotton",Glass,4466,55.62,248403.78,2025-05-06,"Norfolk, VA",KORUS,Italy,2.24,5554.29,Medium,Compliant,2025-07-18 11:51:22
TR001394,6211.32.0040,"Track suits, ski suits and swimwear of cotton",Samsung Electronics,France,FR,80.27,6.73,5.4,0.28,0.1,86.05,"69.6% Polyester, 30.4% Cotton",Polyester,9958,80.27,799292.69,2024-05-26,"Los Angeles, CA",KORUS,Thailand,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR001395,8517.12.0020,Telephones for cellular networks,Apple Inc.,Mexico,MX,3.65,5.2,0.19,0.01,0.19,4.04,"96.1% Leather, 3.9% Polyester",Leather,6038,3.65,22027.46,2024-06-26,"Norfolk, VA",Yes,Vietnam,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR001396,9615.11.1000,"Combs, hair-slides and the like of hard rubber",PepsiCo Inc.,Indonesia,ID,134.18,12.18,16.34,0.46,0.65,151.64,"89.6% Plastic, 10.4% Cotton",Plastic,5410,134.18,725915.06,2025-03-05,"Seattle, WA",No,Canada,12.18,88418.29,High,Compliant,2025-07-18 11:51:22
TR001397,7013.37.2000,Drinking glasses of lead crystal,Ford Motor Company,China,CN,60.57,16.06,9.73,0.21,0.28,70.79,"89.3% Leather, 10.7% Nylon",Leather,4612,60.57,279353.97,2024-09-19,"Los Angeles, CA",No,Malaysia,8.16,22806.62,High,Compliant,2025-07-18 11:51:22
TR001398,3924.90.5600,"Other household articles and toilet articles, of plastics",Microsoft Corporation,Indonesia,ID,0.94,12.15,0.11,0.0,0.12,1.17,"92.4% Polyester, 7.6% Plastic",Polyester,1479,0.94,1383.31,2024-06-23,"Los Angeles, CA",No,Taiwan,0.75,10.32,High,Non-Compliant,2025-07-18 11:51:22
TR001399,4421.99.9780,Other articles of wood,Johnson & Johnson,South Korea,KR,67.14,10.08,6.77,0.23,2.11,76.24,"70.6% Cotton, 29.4% Aluminum",Cotton,5711,67.14,383417.17,2024-02-19,"Seattle, WA",No,Pakistan,0.0,0.0,Medium,Non-Compliant,2025-07-18 11:51:22
TR001400,7616.99.1000,Other articles of aluminum,Target Corporation,Mexico,MX,23.48,5.44,1.28,0.08,2.17,27.01,"70.6% Glass, 29.4% Nylon",Glass,6012,23.48,141136.38,2024-03-28,"New York, NY",Yes,India,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR001401,4202.12.8020,"Trunks, suitcases and vanity cases with outer surface of plastics",Audi AG,Bangladesh,BD,139.95,12.74,17.82,0.48,0.29,158.54,"87.5% Glass, 12.5% Cotton",Glass,4884,139.95,683512.41,2025-05-06,"Long Beach, CA",No,Taiwan,1.34,9125.9,High,Compliant,2025-07-18 11:51:22
TR001402,3923.30.0080,"Carboys, bottles, flasks and similar articles",Honda Motor Co.,Mexico,MX,119.4,2.11,2.52,0.41,0.43,122.75,"77.9% Plastic, 22.1% Aluminum",Plastic,8908,119.4,1063575.41,2024-08-04,"Charleston, SC",Yes,South Korea,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR001403,6116.10.1700,"Gloves, mittens and mitts, impregnated with plastics",Amazon.com Inc.,Philippines,PH,73.82,8.14,6.01,0.26,0.39,80.48,"92.1% Rubber, 7.9% Aluminum",Rubber,8305,73.82,613092.87,2024-08-20,"Seattle, WA",CPTPP,Malaysia,0.24,1481.03,Low,Compliant,2025-07-18 11:51:22
TR001404,6110.20.2025,"Sweaters, pullovers of cotton",Nissan Motor Co.,South Korea,KR,83.61,8.25,6.9,0.29,1.07,91.87,"78.4% Steel, 21.6% Aluminum",Steel,5053,83.61,422475.5,2023-08-21,"Norfolk, VA",No,Mexico,6.15,25983.22,Medium,Compliant,2025-07-18 11:51:22
TR001405,8536.69.4000,Plugs and sockets for coaxial cables,Microsoft Corporation,Pakistan,PK,95.25,13.1,12.47,0.33,1.18,109.24,"73.5% Aluminum, 26.5% Glass",Aluminum,1406,95.25,133925.22,2024-07-28,"Long Beach, CA",No,Canada,13.1,17537.72,Medium,Compliant,2025-07-18 11:51:22
TR001406,9615.11.1000,"Combs, hair-slides and the like of hard rubber",General Electric,Japan,JP,138.71,1.47,2.04,0.48,1.35,142.59,"60.5% Plastic, 39.5% Nylon",Plastic,1009,138.71,139960.3,2024-12-25,"Houston, TX",No,Bangladesh,0.0,0.0,High,Non-Compliant,2025-07-18 11:51:22
TR001407,3402.20.0000,Cleaning preparations put up for retail sale,Audi AG,Indonesia,ID,27.8,10.61,2.95,0.1,1.48,32.33,"85.5% Polyester, 14.5% Glass",Polyester,9507,27.8,264317.96,2024-08-28,"Charleston, SC",No,Taiwan,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR001408,6204.63.3510,Women's or girls' trousers of cotton,Cisco Systems,India,IN,114.88,11.19,12.86,0.4,1.14,129.28,"79.4% Silicone, 20.6% Rubber",Silicone,1503,114.88,172669.8,2024-12-05,"Long Beach, CA",CPTPP,Canada,11.19,19329.32,Medium,Compliant,2025-07-18 11:51:22
TR001409,6505.00.6045,"Hats and other headgear, knitted or crocheted",Coca-Cola Company,Turkey,TR,78.86,5.97,4.71,0.27,0.78,84.62,"61.5% Glass, 38.5% Cotton",Glass,3103,78.86,244706.06,2023-10-26,"New York, NY",No,China,0.0,0.0,Low,Under Review,2025-07-18 11:51:22
TR001410,6211.32.0040,"Track suits, ski suits and swimwear of cotton",Gap Inc.,Bangladesh,BD,72.56,12.62,9.16,0.25,1.91,83.88,"78.1% Aluminum, 21.9% Polyester",Aluminum,1889,72.56,137060.05,2024-01-06,"Seattle, WA",No,South Korea,5.92,8117.75,Medium,Non-Compliant,2025-07-18 11:51:22
TR001411,4202.12.8020,"Trunks, suitcases and vanity cases with outer surface of plastics",Bain & Company,China,CN,41.68,16.1,6.71,0.14,2.42,50.95,"72.9% Nylon, 27.1% Silicone",Nylon,1073,41.68,44719.17,2024-08-24,"Miami, FL",CPTPP,United Kingdom,13.3,5948.91,Low,Compliant,2025-07-18 11:51:22
TR001412,3924.90.5600,"Other household articles and toilet articles, of plastics",Cisco Systems,Pakistan,PK,143.87,16.08,23.14,0.5,1.57,169.08,"70.5% Glass, 29.5% Aluminum",Glass,5250,143.87,755339.1,2025-03-04,"Miami, FL",No,Vietnam,7.58,57259.56,Low,Non-Compliant,2025-07-18 11:51:22
TR001413,3926.20.4000,"Articles of apparel and clothing accessories, of plastics",Boston Consulting Group,Brazil,BR,79.44,20.5,16.29,0.28,2.43,98.43,"89.0% Leather, 11.0% Steel",Leather,4744,79.44,376878.04,2024-11-15,"Miami, FL",KORUS,China,5.3,19974.9,Low,Non-Compliant,2025-07-18 11:51:22
TR001414,9401.80.4016,Seats with wooden frames,Levi Strauss & Co.,Philippines,PH,137.78,7.84,10.81,0.48,1.08,150.15,"67.7% Glass, 32.3% Silicone",Glass,6039,137.78,832075.24,2024-09-16,"Long Beach, CA",No,Pakistan,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR001415,8414.51.0000,Ceiling fans,Sony Corporation,Thailand,TH,49.37,7.96,3.93,0.17,0.13,53.6,"88.0% Aluminum, 12.0% Silicone",Aluminum,546,49.37,26956.32,2024-09-21,"Long Beach, CA",CPTPP,China,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR001416,6110.20.2025,"Sweaters, pullovers of cotton",Target Corporation,South Korea,KR,116.05,8.74,10.15,0.4,1.28,127.87,"91.4% Steel, 8.6% Aluminum",Steel,4637,116.05,538103.66,2025-05-11,"Long Beach, CA",No,Malaysia,0.84,4536.23,Medium,Compliant,2025-07-18 11:51:22
TR001417,3924.90.5600,"Other household articles and toilet articles, of plastics",Audi AG,Malaysia,MY,10.94,8.12,0.89,0.04,1.25,13.11,"66.9% Rubber, 33.1% Glass",Rubber,2613,10.94,28573.22,2025-01-25,"Seattle, WA",No,United Kingdom,5.32,1519.31,Low,Compliant,2025-07-18 11:51:22
TR001418,3926.20.4000,"Articles of apparel and clothing accessories, of plastics",Nissan Motor Co.,Italy,IT,42.76,3.76,1.61,0.15,1.21,45.72,"86.9% Silicone, 13.1% Leather",Silicone,6602,42.76,282293.4,2024-01-25,"Charleston, SC",CPTPP,Turkey,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR001419,8310.00.0000,"Sign-plates, name-plates, address-plates and similar plates",Coca-Cola Company,India,IN,71.01,14.14,10.04,0.25,1.47,82.77,"61.9% Leather, 38.1% Rubber",Leather,4060,71.01,288315.4,2025-06-19,"Long Beach, CA",CPTPP,Pakistan,0.04,123.38,Medium,Under Review,2025-07-18 11:51:22
TR001420,7323.10.0000,Iron or steel wool; pot scourers and scouring pads,General Electric,Turkey,TR,108.13,8.16,8.82,0.37,1.91,119.24,"68.8% Silicone, 31.2% Polyester",Silicone,4560,108.13,493090.82,2023-12-27,"Norfolk, VA",KORUS,China,0.0,0.0,Low,Non-Compliant,2025-07-18 11:51:22
TR001421,4202.12.8020,"Trunks, suitcases and vanity cases with outer surface of plastics",PepsiCo Inc.,Malaysia,MY,98.52,7.45,7.34,0.34,0.67,106.87,"71.2% Aluminum, 28.8% Leather",Aluminum,581,98.52,57238.14,2023-12-24,"Los Angeles, CA",KORUS,Brazil,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR001422,8517.12.0020,Telephones for cellular networks,Under Armour Inc.,Italy,IT,40.92,3.12,1.28,0.14,2.07,44.41,"80.7% Plastic, 19.3% Cotton",Plastic,6633,40.92,271403.22,2023-10-24,"Houston, TX",CPTPP,Mexico,1.02,2775.48,Medium,Under Review,2025-07-18 11:51:22
TR001423,9506.62.4000,Inflatable balls,Unilever,South Korea,KR,109.62,8.22,9.01,0.38,1.09,120.1,"85.2% Leather, 14.8% Rubber",Leather,4118,109.62,451408.67,2025-01-25,"Houston, TX",CPTPP,United Kingdom,5.42,24470.92,Low,Compliant,2025-07-18 11:51:22
TR001424,4421.99.9780,Other articles of wood,Honda Motor Co.,South Korea,KR,106.81,3.21,3.43,0.37,0.22,110.84,"94.4% Rubber, 5.6% Nylon",Rubber,5929,106.81,633292.57,2023-10-28,"New York, NY",CPTPP,Mexico,1.11,7055.54,Medium,Compliant,2025-07-18 11:51:22
TR001425,9506.62.4000,Inflatable balls,Coca-Cola Company,Turkey,TR,135.79,4.17,5.66,0.47,2.06,143.98,"73.9% Cotton, 26.1% Plastic",Cotton,248,135.79,33676.37,2025-01-16,"Long Beach, CA",KORUS,France,0.67,224.69,Medium,Under Review,2025-07-18 11:51:22
TR001426,4015.19.0510,"Disposable gloves of vulcanized rubber, nitrile",Audi AG,Italy,IT,112.58,5.97,6.72,0.39,0.33,120.02,"79.0% Leather, 21.0% Nylon",Leather,9471,112.58,1066283.06,2025-01-26,"Los Angeles, CA",No,Brazil,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR001427,7323.10.0000,Iron or steel wool; pot scourers and scouring pads,Audi AG,Germany,DE,59.97,2.02,1.21,0.21,0.88,62.26,"99.3% Silicone, 0.7% Aluminum",Silicone,3152,59.97,189016.35,2023-07-19,"Norfolk, VA",No,Japan,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR001428,4202.12.8020,"Trunks, suitcases and vanity cases with outer surface of plastics",Honda Motor Co.,Brazil,BR,117.12,20.42,23.91,0.41,1.95,143.39,"69.1% Silicone, 30.9% Leather",Silicone,5186,117.12,607397.6,2023-07-24,"New York, NY",No,China,5.22,31687.84,Medium,Non-Compliant,2025-07-18 11:51:22
TR001429,3304.30.0000,Manicure or pedicure preparations,HP Inc.,Taiwan,TW,22.17,8.79,1.95,0.08,0.71,24.9,"96.6% Silicone, 3.4% Nylon",Silicone,2686,22.17,59541.67,2024-07-04,"Los Angeles, CA",CPTPP,Bangladesh,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR001430,9503.00.0071,"Tricycles, scooters, pedal cars and similar wheeled toys",KPMG,Germany,DE,73.22,2.97,2.17,0.25,1.31,76.96,"67.1% Aluminum, 32.9% Cotton",Aluminum,970,73.22,71021.03,2024-06-16,"Seattle, WA",No,Brazil,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR001431,9017.80.0000,"Other drawing, marking-out or mathematical calculating instruments",Gap Inc.,China,CN,34.07,14.55,4.96,0.12,1.22,40.36,"70.6% Silicone, 29.4% Steel",Silicone,5869,34.07,199966.46,2023-12-05,"Houston, TX",No,Germany,11.35,22689.42,Low,Under Review,2025-07-18 11:51:22
TR001432,9018.32.0000,Tubular metal needles,General Electric,Philippines,PH,12.87,9.27,1.19,0.04,2.3,16.4,"71.7% Cotton, 28.3% Rubber",Cotton,9576,12.87,123237.15,2024-01-05,"Los Angeles, CA",KORUS,Brazil,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR001433,9403.60.8081,Wooden furniture for bedrooms,Volkswagen AG,France,FR,57.78,2.37,1.37,0.2,2.01,61.36,"78.3% Polyester, 21.7% Plastic",Polyester,7827,57.78,452268.23,2023-11-04,"Long Beach, CA",CPTPP,Brazil,0.0,0.0,Medium,Compliant,2025-07-18 11:51:22
TR001434,3923.30.0080,"Carboys, bottles, flasks and similar articles",Boston Consulting Group,Canada,CA,11.15,0.0,0.0,0.04,2.15,13.34,"91.3% Plastic, 8.7% Glass",Plastic,4990,11.15,55654.07,2023-11-23,"Norfolk, VA",Yes,Vietnam,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR001435,8305.20.0000,Staples in strips,LG Electronics,Vietnam,VN,85.08,5.51,4.69,0.29,1.82,91.88,"97.5% Rubber, 2.5% Polyester",Rubber,1086,85.08,92396.04,2024-09-15,"New York, NY",No,Bangladesh,0.0,0.0,Medium,Under Review,2025-07-18 11:51:22
TR001436,8467.21.0030,"Drills with self-contained electric motor, cordless",HP Inc.,South Korea,KR,66.08,7.58,5.01,0.23,1.4,72.72,"98.7% Steel, 1.3% Polyester",Steel,8127,66.08,537059.49,2025-06-10,"New York, NY",No,Canada,7.58,40734.12,Medium,Compliant,2025-07-18 11:51:22
TR001437,4819.40.0040,"Other sacks and bags, including cones, of paper",Nissan Motor Co.,United Kingdom,GB,145.82,2.89,4.22,0.51,2.16,152.71,"64.4% Silicone, 35.6% Plastic",Silicone,9361,145.82,1365039.69,2023-10-30,"Los Angeles, CA",No,Canada,2.89,39461.73,Medium,Compliant,2025-07-18 11:51:22
TR001438,8310.00.0000,"Sign-plates, name-plates, address-plates and similar plates",Johnson & Johnson,Brazil,BR,11.43,17.82,2.04,0.04,1.94,15.45,"71.4% Steel, 28.6% Rubber",Steel,3358,11.43,38398.08,2025-01-24,"Los Angeles, CA",KORUS,Turkey,12.02,4617.32,Low,Compliant,2025-07-18 11:51:22
TR001439,9505.10.4000,Christmas articles,Stanley Black & Decker,China,CN,51.11,11.32,5.78,0.18,1.24,58.31,"84.5% Leather, 15.5% Plastic",Leather,2929,51.11,149712.4,2024-08-22,"Miami, FL",No,Philippines,3.12,4666.29,Medium,Under Review,2025-07-18 11:51:22
TR001440,7323.10.0000,Iron or steel wool; pot scourers and scouring pads,Adidas AG,Bangladesh,BD,123.0,11.95,14.7,0.43,2.27,140.41,"64.8% Polyester, 35.2% Steel",Polyester,725,123.0,89178.24,2024-07-19,"Los Angeles, CA",No,Malaysia,4.05,3614.47,Low,Non-Compliant,2025-07-18 11:51:22
TR001441,6307.90.9889,"Other made up articles, including dress patterns",Toyota Motor Corporation,Canada,CA,104.46,0.0,0.0,0.36,2.08,106.91,"62.2% Nylon, 37.8% Leather",Nylon,6410,104.46,669613.57,2025-03-10,"Seattle, WA",Yes,France,0.0,0.0,Medium,Under Review,2025-07-18 11:51:22
TR001442,3402.20.0000,Cleaning preparations put up for retail sale,Coca-Cola Company,China,CN,129.48,19.0,24.6,0.45,0.49,155.02,"92.5% Aluminum, 7.5% Leather",Aluminum,9472,129.48,1226474.64,2024-01-02,"Seattle, WA",CPTPP,South Korea,12.3,150825.35,Medium,Under Review,2025-07-18 11:51:22
TR001443,8528.72.6400,Reception apparatus for television,Procter & Gamble,France,FR,139.45,5.96,8.31,0.48,1.61,149.85,"75.8% Rubber, 24.2% Nylon",Rubber,3847,139.45,536450.42,2024-09-27,"Miami, FL",No,Canada,5.96,31965.67,Low,Under Review,2025-07-18 11:51:22
TR001444,3402.20.0000,Cleaning preparations put up for retail sale,BMW Group,Pakistan,PK,147.33,13.66,20.12,0.51,2.46,170.42,"97.0% Polyester, 3.0% Steel",Polyester,7532,147.33,1109683.61,2025-06-27,"Seattle, WA",No,Philippines,5.46,60576.51,Medium,Under Review,2025-07-18 11:51:22
TR001445,6806.10.0000,"Slag wool, rock wool and similar mineral wools",Ernst & Young,Germany,DE,100.66,1.67,1.68,0.35,0.1,102.78,"92.2% Cotton, 7.8% Plastic",Cotton,7102,100.66,714873.45,2024-03-18,"Long Beach, CA",KORUS,Pakistan,0.0,0.0,High,Under Review,2025-07-18 11:51:22
TR001446,4421.99.9780,Other articles of wood,BMW Group,China,CN,58.24,13.99,8.15,0.2,1.26,67.86,"74.2% Steel, 25.8% Glass",Steel,4637,58.24,270069.74,2024-10-25,"Norfolk, VA",No,Brazil,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR001447,6116.10.1700,"Gloves, mittens and mitts, impregnated with plastics",Sony Corporation,Canada,CA,144.61,0.0,0.0,0.5,1.64,146.75,"60.9% Polyester, 39.1% Rubber",Polyester,659,144.61,95294.99,2023-08-08,"Charleston, SC",Yes,Taiwan,0.0,0.0,Low,Non-Compliant,2025-07-18 11:51:22
TR001448,6307.90.9889,"Other made up articles, including dress patterns",McKinsey & Company,South Korea,KR,65.02,7.12,4.63,0.23,1.93,71.81,"99.7% Rubber, 0.3% Nylon",Rubber,137,65.02,8907.99,2025-06-20,"Miami, FL",No,Malaysia,0.0,0.0,Medium,Non-Compliant,2025-07-18 11:51:22
TR001449,9505.10.4000,Christmas articles,Ford Motor Company,Bangladesh,BD,8.04,12.38,1.0,0.03,0.35,9.42,"95.2% Aluminum, 4.8% Polyester",Aluminum,1932,8.04,15539.28,2025-06-20,"Seattle, WA",KORUS,Japan,7.48,1162.04,High,Under Review,2025-07-18 11:51:22
TR001450,7013.49.2000,Glassware for table or kitchen use,Unilever,Turkey,TR,42.88,11.98,5.14,0.15,2.38,50.55,"93.7% Nylon, 6.3% Silicone",Nylon,1851,42.88,79378.89,2024-04-30,"Norfolk, VA",No,South Korea,5.28,4191.03,Medium,Compliant,2025-07-18 11:51:22
TR001451,4015.19.0510,"Disposable gloves of vulcanized rubber, nitrile",General Motors,France,FR,12.16,4.06,0.49,0.04,0.35,13.05,"79.7% Aluminum, 20.3% Silicone",Aluminum,771,12.16,9375.42,2024-12-05,"Long Beach, CA",No,Turkey,0.0,0.0,High,Under Review,2025-07-18 11:51:22
TR001452,4421.99.9780,Other articles of wood,Ernst & Young,Brazil,BR,98.15,18.09,17.75,0.34,0.94,117.18,"98.6% Plastic, 1.4% Cotton",Plastic,2075,98.15,203664.33,2023-07-22,"Charleston, SC",No,France,14.59,29711.8,Low,Non-Compliant,2025-07-18 11:51:22
TR001453,6505.00.6045,"Hats and other headgear, knitted or crocheted",Ernst & Young,Brazil,BR,94.75,16.7,15.82,0.33,0.8,111.7,"74.9% Cotton, 25.1% Leather",Cotton,9876,94.75,935725.66,2025-05-10,"Charleston, SC",No,Canada,16.7,156231.13,High,Under Review,2025-07-18 11:51:22
TR001454,6806.10.0000,"Slag wool, rock wool and similar mineral wools",BMW Group,Mexico,MX,118.5,1.06,1.26,0.41,0.17,120.34,"98.7% Aluminum, 1.3% Cotton",Aluminum,4612,118.5,546517.17,2024-11-13,"Miami, FL",Yes,Japan,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR001455,9401.80.4016,Seats with wooden frames,Gap Inc.,Germany,DE,45.84,4.91,2.25,0.16,0.97,49.22,"62.7% Aluminum, 37.3% Plastic",Aluminum,736,45.84,33738.62,2023-10-21,"Norfolk, VA",No,Bangladesh,0.0,0.0,Low,Compliant,2025-07-18 11:51:22
TR001456,8471.30.0100,Portable automatic data processing machines,Intel Corporation,China,CN,18.43,15.36,2.83,0.06,0.87,22.19,"94.7% Plastic, 5.3% Silicone",Plastic,5423,18.43,99936.77,2024-05-07,"Charleston, SC",KORUS,Italy,11.26,11249.12,Low,Compliant,2025-07-18 11:51:22
TR001457,3923.30.0080,"Carboys, bottles, flasks and similar articles",Macy's Inc.,United Kingdom,GB,80.05,3.49,2.79,0.28,1.26,84.38,"88.1% Polyester, 11.9% Leather",Polyester,7873,80.05,630209.87,2024-12-09,"Charleston, SC",CPTPP,Mexico,1.39,8767.76,Low,Compliant,2025-07-18 11:51:22
TR001458,6806.10.0000,"Slag wool, rock wool and similar mineral wools",LG Electronics,Brazil,BR,99.41,17.48,17.38,0.34,0.67,117.8,"63.9% Silicone, 36.1% Nylon",Silicone,5379,99.41,534714.9,2024-07-14,"New York, NY",CPTPP,Indonesia,6.88,36788.57,High,Non-Compliant,2025-07-18 11:51:22
TR001459,7326.90.8588,Other articles of iron or steel,Microsoft Corporation,Canada,CA,129.31,0.0,0.0,0.45,2.36,132.12,"80.7% Silicone, 19.3% Cotton",Silicone,8039,129.31,1039546.64,2024-06-08,"Norfolk, VA",Yes,Vietnam,0.0,0.0,Medium,Under Review,2025-07-18 11:51:22
TR001460,3924.90.5600,"Other household articles and toilet articles, of plastics",Hyundai Motor Company,Vietnam,VN,40.64,10.02,4.07,0.14,1.67,46.53,"81.3% Aluminum, 18.7% Nylon",Aluminum,1945,40.64,79046.28,2024-12-02,"Norfolk, VA",CPTPP,Thailand,0.72,571.5,Low,Compliant,2025-07-18 11:51:22
TR001461,3304.30.0000,Manicure or pedicure preparations,Samsung Electronics,Japan,JP,19.66,3.03,0.6,0.07,0.4,20.72,"84.8% Polyester, 15.2% Plastic",Polyester,1678,19.66,32995.64,2024-08-30,"Miami, FL",No,Thailand,0.0,0.0,Low,Under Review,2025-07-18 11:51:22
TR001462,8528.72.6400,Reception apparatus for television,General Motors,Indonesia,ID,116.71,6.86,8.01,0.4,1.44,126.56,"85.8% Polyester, 14.2% Leather",Polyester,7814,116.71,911981.4,2025-01-08,"New York, NY",CPTPP,United Kingdom,4.06,37062.52,Low,Compliant,2025-07-18 11:51:22
TR001463,7323.93.0060,"Table, kitchen or other household articles of stainless steel",Porsche AG,Philippines,PH,25.68,14.4,3.7,0.09,1.93,31.39,"99.4% Nylon, 0.6% Aluminum",Nylon,2832,25.68,72731.03,2024-04-24,"Norfolk, VA",No,Canada,14.4,10470.8,Medium,Non-Compliant,2025-07-18 11:51:22
TR001464,6204.63.3510,Women's or girls' trousers of cotton,Unilever,Thailand,TH,107.65,8.78,9.46,0.37,1.79,119.27,"69.4% Rubber, 30.6% Glass",Rubber,767,107.65,82567.11,2024-09-02,"Los Angeles, CA",No,Turkey,2.98,2463.51,High,Compliant,2025-07-18 11:51:22
TR001465,9507.30.2000,Fishing reels,Boston Consulting Group,Philippines,PH,127.52,12.03,15.33,0.44,1.25,144.54,"74.9% Steel, 25.1% Rubber",Steel,6704,127.52,854862.08,2025-04-13,"Houston, TX",CPTPP,Italy,7.93,67751.7,High,Compliant,2025-07-18 11:51:22
TR001466,6403.91.6030,Footwear with outer soles of rubber,LG Electronics,Thailand,TH,77.44,4.95,3.84,0.27,0.35,81.9,"87.8% Rubber, 12.2% Aluminum",Rubber,7885,77.44,610638.79,2024-11-07,"Houston, TX",No,China,0.0,0.0,Low,Non-Compliant,2025-07-18 11:51:22
TR001467,8414.51.0000,Ceiling fans,Procter & Gamble,Thailand,TH,90.82,7.74,7.03,0.31,0.39,98.56,"63.1% Glass, 36.9% Cotton",Glass,6438,90.82,584724.94,2024-07-09,"Seattle, WA",KORUS,France,4.24,24780.54,Medium,Under Review,2025-07-18 11:51:22
TR001468,4819.40.0040,"Other sacks and bags, including cones, of paper",Bain & Company,South Korea,KR,54.73,7.22,3.95,0.19,0.7,59.58,"87.3% Aluminum, 12.7% Rubber",Aluminum,3126,54.73,171097.5,2024-03-12,"Seattle, WA",KORUS,Turkey,1.42,2429.18,Medium,Under Review,2025-07-18 11:51:22
TR001469,9506.62.4000,Inflatable balls,Gap Inc.,South Korea,KR,148.07,4.2,6.22,0.51,1.45,156.25,"87.5% Silicone, 12.5% Nylon",Silicone,7470,148.07,1106093.83,2023-09-28,"Norfolk, VA",CPTPP,China,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR001470,7323.93.0060,"Table, kitchen or other household articles of stainless steel",Adidas AG,Malaysia,MY,42.79,7.37,3.15,0.15,2.25,48.34,"61.0% Steel, 39.0% Plastic",Steel,865,42.79,37014.6,2023-08-19,"Long Beach, CA",No,India,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR001471,4016.99.6000,Other articles of vulcanized rubber,BMW Group,Italy,IT,4.19,7.82,0.33,0.01,2.04,6.58,"81.5% Nylon, 18.5% Cotton",Nylon,2766,4.19,11595.75,2023-11-19,"Charleston, SC",No,Pakistan,0.0,0.0,High,Compliant,2025-07-18 11:51:22
TR001472,9404.90.9505,"Pillows, cushions and similar articles",Walmart Inc.,India,IN,121.99,10.91,13.31,0.42,0.41,136.12,"60.7% Aluminum, 39.3% Glass",Aluminum,9934,121.99,1211804.85,2024-01-16,"Houston, TX",KORUS,Japan,6.01,72798.55,High,Non-Compliant,2025-07-18 11:51:22
TR001473,9403.60.8081,Wooden furniture for bedrooms,IKEA,Vietnam,VN,60.98,9.85,6.0,0.21,0.97,68.16,"68.7% Nylon, 31.3% Glass",Nylon,9479,60.98,577988.37,2025-04-25,"Charleston, SC",No,Taiwan,0.0,0.0,High,Compliant,2025-07-18 11:51:22
